step,timestep,similarity,threshold,threshold_passed,should_skip,action,skip_streak,feature_bytes,prepare_ms,pynq_total_ms,kernel_ms,server_ms,round_trip_ms,unet_ms,scheduler_ms,step_total_ms
1,999,nan,0.999,0,0,UNET,0,4096,5.754100006015506,7.318000003579073,0.563,0.58,1.563899997563567,106.31439999997383,0.5329000050551258,114.5366999990074
2,989,0.9999370204994812,0.999,1,0,UNET,0,4096,0.1843999998527579,1.832900001318194,0.622,0.662,1.648500001465436,108.25399999885121,0.46210000436985865,110.94619999494171
3,979,0.9999250859205449,0.999,1,0,UNET,0,4096,0.20260000019334257,1.7785999953048304,0.613,0.651,1.5759999951114878,108.61889999796404,0.9533999982522801,111.9027999957325
4,969,0.9999066633407927,0.999,1,0,UNET,0,4096,0.31370000215247273,1.8656000029295683,0.609,0.647,1.5519000007770956,108.35210000368534,0.9706999990157783,111.73929999495158
5,959,0.9998927667873458,0.999,1,0,UNET,0,4096,0.47050000284798443,2.086000000417698,0.621,0.66,1.6154999975697137,109.64290000265464,0.9787000017240644,113.24349999631522
6,949,0.9998851464297358,0.999,1,0,UNET,0,4096,0.29200000426499173,1.9380000085220672,0.623,0.662,1.6460000042570755,107.05230000166921,0.44550000166054815,109.83000000123866
7,939,0.999879986722163,0.999,1,0,UNET,0,4096,0.18780000391416252,1.7477000073995441,0.615,0.654,1.5599000034853816,106.2917999952333,0.7709000055911019,109.27280000032624
8,929,0.9998906611636174,0.999,1,0,UNET,0,4096,0.3775000004679896,1.8988000010722317,0.611,0.649,1.521300000604242,106.69500000221888,0.5960000053164549,109.61749999842141
9,919,0.9998881651784866,0.999,1,0,UNET,0,4096,0.20930000027874485,1.761100000294391,0.617,0.656,1.5518000000156462,105.7823000010103,0.7648999962839298,109.02039999928093
10,909,0.9998933438389405,0.999,1,0,UNET,0,4096,0.31379999563796446,1.9277999963378534,0.615,0.652,1.614000000699889,107.8979999947478,1.0086999973282218,111.40549999981886
11,899,0.9999005365466568,0.999,1,0,UNET,0,4096,0.28530000417958945,1.8331000028410926,0.611,0.647,1.5477999986615032,108.70449999492848,0.4602000044542365,111.54679999890504
12,889,0.9999010306768181,0.999,1,0,UNET,0,4096,0.2015999998548068,1.7518000022391789,0.61,0.648,1.550200002384372,108.84200000145938,0.8961000057752244,111.98229999718023
13,879,0.9998985223918851,0.999,1,0,UNET,0,4096,0.2905000001192093,1.9570000004023314,0.608,0.644,1.666500000283122,109.5980000027339,0.6213999949977733,112.62529999658
14,869,0.999897408836836,0.999,1,0,UNET,0,4096,0.2386999985901639,1.8049999926006421,0.609,0.645,1.5662999940104783,109.17820000031497,0.6433000016841106,112.07719999947585
15,859,0.9998956357242441,0.999,1,0,UNET,0,4096,0.24190000112866983,1.8027000041911379,0.607,0.644,1.560800003062468,109.11350000242237,0.6409000052371994,112.00249999819789
16,849,0.9998875680715817,0.999,1,1,SKIP,1,4096,0.23720000172033906,1.7606999972485937,0.561,0.597,1.5234999955282547,0.0,0.3791999988607131,2.359599995543249
17,839,0.9997492057191163,0.999,1,1,SKIP,2,4096,0.34220000088680536,1.7650000008870848,0.558,0.595,1.4228000000002794,0.0,0.49389999912818894,2.45800000266172
18,829,0.9994947863022936,0.999,1,1,SKIP,3,4096,0.16759999562054873,1.6571999949519522,0.554,0.59,1.4895999993314035,0.0,0.4971000016666949,2.483399999618996
19,819,0.999119622980761,0.999,1,0,UNET,0,4096,0.16689999756636098,1.6235999937634915,0.602,0.639,1.4566999961971305,107.63700000097742,0.48490000335732475,110.13809999712976
20,809,0.999874033072457,0.999,1,1,SKIP,1,4096,0.19380000594537705,1.756600002408959,0.56,0.598,1.562799996463582,0.0,0.3729999953065999,2.3750999971525744
21,799,0.999696655206604,0.999,1,1,SKIP,2,4096,0.1588000013725832,1.572500004840549,0.555,0.592,1.4137000034679659,0.0,0.3448999996180646,2.103699996951036
22,789,0.9993851021443214,0.999,1,1,SKIP,3,4096,0.12209999840706587,1.5343999984906986,0.555,0.591,1.4123000000836328,0.0,0.3332999986014329,2.0647999990615062
23,779,0.9989173971682149,0.999,0,0,UNET,0,4096,0.11359999916749075,1.5504000039072707,0.603,0.638,1.43680000473978,107.48659999808297,0.6308999945758842,110.06739999720594
24,769,0.9998509134209632,0.999,1,1,SKIP,1,4096,0.23990000045159832,1.7790000056265853,0.56,0.596,1.539100005174987,0.0,0.37879999581491575,2.4160000029951334
25,759,0.9996086141365151,0.999,1,1,SKIP,2,4096,0.16070000128820539,1.583299999765586,0.555,0.591,1.4225999984773807,0.0,0.4973999966750853,2.288099996803794
26,749,0.9991962609792227,0.999,1,1,SKIP,3,4096,0.18319999799132347,1.589799991052132,0.552,0.588,1.4065999930608086,0.0,0.4977999997208826,2.3032999961287715
27,739,0.9985998018381679,0.999,0,0,UNET,0,4096,0.27709999994840473,1.7301000043516979,0.605,0.64,1.4530000044032931,106.44399999728194,0.6290000019362196,109.22470000514295
28,729,0.9998242029102589,0.999,1,1,SKIP,1,4096,0.240100001974497,1.7865000045276247,0.555,0.592,1.5464000025531277,0.0,0.4957999990438111,2.5672999981907196
29,719,0.9995081672674828,0.999,1,1,SKIP,2,4096,0.17240000306628644,1.6006000005290844,0.551,0.588,1.428199997462798,0.0,0.3907999998773448,2.2067000027163886
30,709,0.9989871035705716,0.999,0,0,UNET,0,4096,0.15700000221841037,1.723699999274686,0.69,0.728,1.5666999970562756,122.4173000009614,0.6495999987237155,125.23759999749018
31,699,0.9998226726957203,0.999,1,1,SKIP,1,4096,0.24920000578276813,1.8344999989494681,0.561,0.599,1.5852999931667,0.0,0.7135999985621311,2.9141999984858558
