step,timestep,similarity,threshold,threshold_requested,threshold_q15,threshold_phase,adjacent_similarity_ema,threshold_passed,should_skip,action,skip_streak,feature_bytes,prepare_ms,pynq_total_ms,kernel_ms,server_ms,round_trip_ms,unet_ms,scheduler_ms,step_total_ms
1,999,nan,0.99993896484375,0.99995,32766,warmup,,0,0,UNET,0,4096,0.963699996646028,2.470099992933683,0.52,0.537,1.506399996287655,96.16980000282638,0.7910999993328005,99.81149999657646
2,989,0.9999370204994812,0.99993896484375,0.99995,32766,warmup,,0,0,UNET,0,4096,0.2451999971526675,1.822199992602691,0.568,0.607,1.5769999954500236,96.54940000473289,0.5369999998947605,99.2887000029441
3,979,0.9999250859205449,0.99993896484375,0.99995,32766,warmup,0.9999370204994812,0,0,UNET,0,4096,0.22139999782666564,1.8144999994547106,0.563,0.599,1.593100001628045,97.16080000362126,0.5208999937167391,99.77349999826401
4,969,0.9999066633407927,0.99993896484375,0.99995,32766,warmup,0.9999346335836939,0,0,UNET,0,4096,0.17690000095171854,1.7632999952184036,0.563,0.6,1.586399994266685,96.20749999885447,0.4991000023437664,98.75530000135768
5,959,0.9998927667873458,0.99993896484375,0.99995,32766,warmup,0.9999290395351137,0,0,UNET,0,4096,0.1832999987527728,1.7814000020734966,0.573,0.612,1.5981000033207238,97.66099999978906,0.3913999971700832,100.08820000075502
6,949,0.9998851464297358,0.99993896484375,0.99995,32766,warmup,0.9999217849855602,0,0,UNET,0,4096,0.14340000052470714,1.688500000454951,0.584,0.619,1.545099999930244,96.13530000206083,0.4202999989502132,98.50600000208942
7,939,0.999879986722163,0.99993896484375,0.99995,32766,warmup,0.9999144572743953,0,0,UNET,0,4096,0.16340000001946464,1.6819000011309981,0.567,0.602,1.5185000011115335,96.0715999972308,0.40920000174082816,98.45180000411347
8,929,0.9998906611636174,0.99993896484375,0.99995,32766,warmup,0.9999075631639489,0,0,UNET,0,4096,0.13469999976223335,1.7097999952966347,0.571,0.607,1.5750999955344014,96.11389999918174,0.502200004120823,98.58779999922263
9,919,0.9998881651784866,0.99993896484375,0.99995,32766,warmup,0.9999041827638826,0,0,UNET,0,4096,0.15639999764971435,1.705599992419593,0.584,0.62,1.5491999947698787,96.23719999945024,0.4645000008167699,98.74459999991814
10,909,0.9998933438389405,0.99993896484375,0.99995,32766,warmup,0.9999009792468034,0,0,UNET,0,4096,0.14630000077886507,1.6623999981675297,0.581,0.616,1.5160999973886646,97.12929999659536,0.64340000244556,99.74950000469107
11,899,0.9999005365466568,0.99993896484375,0.99995,32766,warmup,0.9998994521652309,0,0,UNET,0,4096,0.1883000004454516,1.7366999963996932,0.58,0.615,1.5483999959542416,96.17099999741185,0.6762999983038753,98.89349999866681
12,889,0.9999010306768181,0.99993896484375,0.99995,32766,warmup,0.9998996690415162,0,0,UNET,0,4096,0.21410000044852495,1.7772000064724125,0.566,0.602,1.5631000060238875,96.94390000368003,0.512699996761512,99.55479999916861
13,879,0.9998985223918851,0.99993896484375,0.99995,32766,warmup,0.9998999413685766,0,0,UNET,0,4096,0.18360000103712082,1.7421000011381693,0.583,0.618,1.5585000001010485,96.3772000031895,0.6950000024517067,99.1993999996339
14,869,0.999897408836836,0.99993896484375,0.99995,32766,warmup,0.9998996575732384,0,0,UNET,0,4096,0.24419999681413174,1.8169999966630712,0.585,0.62,1.5727999998489395,96.51490000396734,0.5294000002322719,99.19559999980265
15,859,0.9998956357242441,0.99993896484375,0.99995,32766,warmup,0.999899207825958,0,0,UNET,0,4096,0.18170000112149864,1.760300001478754,0.563,0.599,1.5786000003572553,97.18590000557015,0.4394999996293336,99.6649000007892
16,849,0.9998875680715817,0.99957275390625,0.9996,32754,middle,0.9998984934056152,1,1,SKIP,1,4096,0.16950000281212851,1.6699000043445267,0.512,0.548,1.5004000015323982,0.0,0.4574999984470196,2.356999997573439
17,839,0.9997492057191163,0.99957275390625,0.9996,32754,middle,0.9998963083388086,1,1,SKIP,2,4096,0.15800000255694613,1.589100000273902,0.511,0.547,1.4310999977169558,0.0,0.46550000115530565,2.265900002385024
18,829,0.9994947863022936,0.99957275390625,0.9996,32754,middle,0.9998963083388086,0,0,UNET,0,4096,0.12969999806955457,1.6208999950322323,0.58,0.615,1.4911999969626777,97.10030000132974,0.5830999944009818,99.62049999739975
19,819,0.9998729840019677,0.99957275390625,0.9996,32754,middle,0.9998963083388086,1,1,SKIP,1,4096,0.2426999999443069,1.7845000038505532,0.522,0.559,1.5418000039062463,0.0,0.5227000001468696,2.587400005722884
20,809,0.999708926902064,0.99957275390625,0.9996,32754,middle,0.9998916434714404,1,1,SKIP,2,4096,0.16799999866634607,1.6727000038372353,0.515,0.551,1.5047000051708892,0.0,0.4693999944720417,2.3846999974921346
21,799,0.9994014003144908,0.99957275390625,0.9996,32754,middle,0.9998916434714404,0,0,UNET,0,4096,0.137699993501883,1.65529999503633,0.577,0.612,1.517600001534447,96.28410000004806,0.3983999995398335,98.60639999533305
22,789,0.999862302463107,0.99957275390625,0.9996,32754,middle,0.9998916434714404,1,1,SKIP,1,4096,0.16089999553514645,1.639599991904106,0.518,0.553,1.4786999963689595,0.0,0.45929999760119244,2.324500004760921
23,779,0.9996584851356833,0.99957275390625,0.9996,32754,middle,0.9998857752697738,1,1,SKIP,2,4096,0.1472000003559515,1.5666000035707839,0.509,0.543,1.4194000032148324,0.0,0.592500000493601,2.454499997838866
24,769,0.9992937591763074,0.99957275390625,0.9996,32754,middle,0.9998857752697738,0,0,UNET,0,4096,0.14199999714037403,1.6088999982457608,0.581,0.616,1.4669000011053868,96.04399999807356,0.48570000217296183,98.40979999717092
25,759,0.9998337612508077,0.99957275390625,0.9996,32754,middle,0.9998857752697738,1,1,SKIP,1,4096,0.14250000094762072,1.6087999974843115,0.514,0.55,1.4662999965366907,0.0,0.47220000124070793,2.3112999988370575
26,749,0.9995419054476681,0.99957275390625,0.9996,32754,middle,0.9998753724659807,0,0,UNET,0,4096,0.1337000066996552,1.586300008057151,0.558,0.594,1.4526000013574958,95.89529999357183,0.4278999986127019,98.16520000458695
27,739,0.9998439971799312,0.99957275390625,0.9996,32754,middle,0.9998753724659807,1,1,SKIP,1,4096,0.13349999790079892,1.5623999934177846,0.514,0.551,1.4288999955169857,0.0,0.4811999970115721,2.259600005345419
28,729,0.9995734400249574,0.99957275390625,0.9996,32754,middle,0.9998690974087708,1,1,SKIP,2,4096,0.15240000357152894,1.5700000076321885,0.509,0.543,1.4176000040606596,0.0,0.4504000025917776,2.238300003227778
29,719,0.9990879140190391,0.99957275390625,0.9996,32754,middle,0.9998690974087708,0,0,UNET,0,4096,0.14340000052470714,1.7201000009663403,0.669,0.705,1.5767000004416332,97.1921000018483,0.5221999963396229,99.73549999995157
30,709,0.9998299935994055,0.99957275390625,0.9996,32754,middle,0.9998690974087708,1,1,SKIP,1,4096,0.18489999638404697,1.7368999979225919,0.515,0.55,1.552000001538545,0.0,0.4717999981949106,2.4554999981774017
31,699,0.9995299424997439,0.99957275390625,0.9996,32754,middle,0.9998612766468978,0,0,UNET,0,4096,0.14789999841013923,1.624799995624926,0.562,0.597,1.4768999972147867,96.25380000215955,0.672800000756979,99.04540000570705
32,689,0.9998261319964052,0.99957275390625,0.9996,32754,middle,0.9998612766468978,1,1,SKIP,1,4096,0.250899996899534,1.7388999913237058,0.51,0.545,1.4879999944241717,0.0,0.542099995072931,2.5752000001375563
33,679,0.9995044803907714,0.99957275390625,0.9996,32754,middle,0.9998542477167993,0,0,UNET,0,4096,0.14489999739453197,1.6355999978259206,0.582,0.617,1.4907000004313886,96.24810000241268,0.48599999718135223,98.63970000151312
34,669,0.9998243589123377,0.99957275390625,0.9996,32754,middle,0.9998542477167993,1,1,SKIP,1,4096,0.15049999637994915,1.6310999999404885,0.515,0.551,1.4806000035605393,0.0,0.4654000003938563,2.325300003576558
35,659,0.9994857084475312,0.99957275390625,0.9996,32754,middle,0.999848269955907,0,0,UNET,0,4096,0.1326000055996701,1.6242000056081451,0.577,0.612,1.491600000008475,96.46690000226954,0.6480000010924414,99.19150000496302
36,649,0.9998235179181648,0.99957275390625,0.9996,32754,middle,0.999848269955907,1,1,SKIP,1,4096,0.1899999988381751,1.6961000001174398,0.512,0.547,1.5061000012792647,0.0,0.5279999968479387,2.548100004787557
