step,timestep,similarity,threshold,threshold_passed,should_skip,action,skip_streak,feature_bytes,prepare_ms,pynq_total_ms,kernel_ms,server_ms,round_trip_ms,unet_ms,scheduler_ms,step_total_ms
1,999,nan,0.999,0,0,UNET,0,32768,0.21099999867146835,1.8682999980228487,0.0,0.02,1.6572999993513804,105.69820000091568,1.2657000006583985,109.36450000008335
2,989,0.99999613765784,0.999,1,0,UNET,0,32768,0.22059999901102856,2.4752999997872394,0.993,1.024,2.254700000776211,107.41839999900549,0.5297000025166199,110.88899999958812
3,979,0.9999947455267157,0.999,1,0,UNET,0,32768,0.1570999993418809,2.379999998083804,0.969,1.0,2.222899998741923,108.30729999725008,0.45419999878504314,111.5347999984806
4,969,0.9999929001525636,0.999,1,0,UNET,0,32768,0.1745000008668285,2.3736000039207283,0.965,0.997,2.1991000030539,106.53820000152336,0.46350000047823414,109.77110000021639
5,959,0.9999899231471,0.999,1,0,UNET,0,32768,0.15939999866532162,2.448399998684181,0.975,1.004,2.2890000000188593,105.97100000086357,0.5055999972682912,109.364199997799
6,949,0.9999855030104455,0.999,1,0,UNET,0,32768,0.17120000120485201,2.4043000012170523,0.967,0.997,2.2331000000122003,106.99740000200109,0.4776999994646758,110.2640999997675
7,939,0.9999810023129635,0.999,1,0,UNET,0,32768,0.15759999951114878,2.3555999978270847,0.963,0.993,2.197999998315936,106.41199999736273,0.49539999963599257,109.6958000016457
8,929,0.9999835279675882,0.999,1,0,UNET,0,32768,0.19109999993816018,2.3958999991009478,0.963,0.993,2.2047999991627876,106.56569999991916,0.48550000065006316,109.97520000091754
9,919,0.9999863947364869,0.999,1,0,UNET,0,32768,0.1733999997668434,2.5553999985277187,0.958,0.988,2.3819999987608753,106.8769000012253,0.5062000018369872,110.4005999986839
10,909,0.999983459532719,0.999,1,0,UNET,0,32768,0.18120000095223077,2.429700001812307,0.965,0.996,2.2485000008600764,107.22879999957513,0.4728999992948957,110.57390000132727
11,899,0.9999811249238525,0.999,1,0,UNET,0,32768,0.1633000028959941,2.3702000034973025,0.97,1.002,2.2069000006013084,106.186400000297,0.4879000007349532,109.49000000255182
12,889,0.9999811223298758,0.999,1,0,UNET,0,32768,0.18249999993713573,2.4978000001283363,0.968,0.998,2.3153000001912005,107.82999999719323,0.5013000009057578,111.28140000073472
13,879,0.9999812021058533,0.999,1,0,UNET,0,32768,0.1964999974006787,2.590000000054715,0.969,0.999,2.3935000026540365,106.31920000014361,0.48909999895840883,109.83399999895482
14,869,0.9999801859364386,0.999,1,0,UNET,0,32768,0.17079999815905467,2.39299999884679,0.966,0.996,2.222200000687735,105.75400000016089,0.4889999981969595,109.03000000325846
15,859,0.9999791229517299,0.999,1,0,UNET,0,32768,0.16139999934239313,2.4306000013893936,0.969,0.999,2.2692000020470005,105.7887999995728,0.7522000014432706,109.36629999923753
16,849,0.9999779639693577,0.999,1,1,SKIP,1,32768,0.15929999790387228,2.3725999999442138,0.96,0.988,2.2133000020403415,0.0,0.4169999992882367,3.0602000006183516
17,839,0.9999091727836799,0.999,1,1,SKIP,2,32768,0.11420000009820797,2.2963999981584493,0.95,0.977,2.1821999980602413,0.0,0.3660000002128072,2.8875999996671453
18,829,0.9997889824987234,0.999,1,1,SKIP,3,32768,0.11000000085914508,2.2308000006887596,0.965,0.992,2.1207999998296145,0.0,0.4793999978573993,2.95189999815193
19,819,0.9996126024162394,0.999,1,0,UNET,0,32768,0.10599999950500205,2.2683999995933846,0.959,0.988,2.1624000000883825,106.65920000246842,0.49699999726726674,109.82470000089961
20,809,0.9999764890061859,0.999,1,1,SKIP,1,32768,0.17859999934444204,2.418300002318574,0.971,0.998,2.239700002974132,0.0,0.47730000005685724,3.222800001822179
21,799,0.9999039176502824,0.999,1,1,SKIP,2,32768,0.1463999979023356,2.255799998238217,0.954,0.981,2.1094000003358815,0.0,0.40869999793358147,2.923300002294127
22,789,0.9997772880508172,0.999,1,1,SKIP,3,32768,0.3735999998752959,2.5079000006371643,0.962,0.99,2.1343000007618684,0.0,0.37399999928311445,3.1080999979167245
23,779,0.9995918993358627,0.999,1,0,UNET,0,32768,0.1300999974773731,2.244899998913752,0.952,0.982,2.114800001436379,108.30060000080266,0.8218000002671033,111.87290000088979
24,769,0.9999659577072909,0.999,1,1,SKIP,1,32768,0.2282999994349666,2.4133000006258953,0.965,0.993,2.1850000011909287,0.0,0.7765000009385403,3.603799999837065
25,759,0.9998659380937276,0.999,1,1,SKIP,2,32768,0.1864000005298294,2.4187000017263927,0.96,0.988,2.2323000011965632,0.0,0.7019000004220288,3.4587000009196345
26,749,0.9996943686785221,0.999,1,1,SKIP,3,32768,0.18040000213659368,2.3175000023911707,0.958,0.985,2.137100000254577,0.0,0.8694999996805564,3.538900000421563
